,Ratings,Reviews,Sentiment
23,5.0,"BANK BAZAAR is a one stop solution for all the financial products,. The service and responses was up to the ark. I have already approached for plenty of enquirers .I am really impressed withe the service  here and they stick on whatever they mention on their website",1
24,4.5,"I know bankbazaar.com from last 4-5 years, the services provided by bankbazaar is good when compared to others in the market. Customer service was good with bankbazaar and their response was on time. The mobile app of bankbazaar is easy to use and is user friendly.",1
25,5.0,My personal loan was taken with IDFC bank. The process was very good and the loan amount was 3 lakhs . The tenure  period was 5 years . The customer  service and responses was very  good. The Representative was very helpful and very informative too. I didn't not face  any issues here.,1
26,3.0,I have my personal loan application approved with HDFC bank and my experience was average. The loan amount was for Rs 1.5 lacs for 3 years with high interest rate when compared to other banks. Signature was not matching so the document,0
27,5.0,"I know bankbazaar.com from last 2 months, it was a good experience so far with bankbazaar. The services provided by bankbazaar is good when compared to others. Customer service was good and they responded on time. Mobile application of bankbazaar is easy to access.",1
28,4.5,"My experience was good with ICICI bank for personal loan, the process took 1 week to complete. Document part was delayed but the customer service was very good with this bank. The loan amount was for Rs 1.7 lacs for 4 years with nominal interest rate.",1
29,5.0,"I came to know about bankbazaar through google, the services provided by bankbazaar is good when compared to others in the market. Customer service was good with bankbazaar and they responded on time. The website of bankbazaar is easy to use and is user friendly.",1
30,4.0,"My experience was good with HDFC bank for personal loan, the process took 20 days to complete, it took long time to collect the documents. Customer service was good and they responded on time. The loan amount was for Rs 1.7 lacs for 4 years with nominal interest rate.",1
31,4.0,"I have taken a personal loan from Icici bank, the loan amount was processed very quickly, everything went well, they updated me about the process. The customer service and response was good. The rate of interest could have been a little lesser.",1
32,5.0,"The services taken from this on line tool was good, it was fast process, I didn't have to wait for long time for my loan process to be sanctioned. They guided me through out the process, the customer service was good and their website as well, over all I am satisfied with it.",1
33,4.0,"I have taken a personal loan from IndusInd bank and the experience with the loan process was good, they sanctioned the loan amount on time, the processing of the loan amount went smooth. The customer service provided by them was good, the rate of interest they have charged is also OK.",1
34,5.0,"BANK BAZAAR is a good platform for all the financial products., The service  and responses was very good. I have applied through the website  which is  very  useful  so is recommendable. I am completely happy with the quick and immediate process .",1
35,5.0,I have taken my personal  loan with TATA CAPITAL. The loan amount was 5.2 lakhs  and the interest rate was satisfactory . The customer service and responses was good. I had a  very smooth and hassle free loan experience  . There is no,1
36,5.0,I have taken the services of this on line tool and I would like to give 5 out 5 rating for their customer service and response. They gave good services and helped me with my loan process. The website is good and user friendly I did not face any hurdles during the process.,1
37,4.0,"I have taken a personal loan from Icici bank, the over all process that took place was good. I received a proper guidance and customer service from them, the loan amount was disbursed on time, however the rate of interest they have charged could have been a little lesser, I am satisfied with it.",1
38,5.0,BANK BAZAAR is a good platform for all the financial products . The customer service and responsiveness was up to the mark. I am happy with the Mobile  application  which is quite convenient   and satisfactory . My overall experience was up to the ark.,1
39,4.0,"I have take my personal  loan with EARLY SALARY . The loan amount was 8000 and the interest rate was  very satisfactory  .The EMI period was  1months, There is no inconvenience faced with the service here and i had a neat process. The",1
40,5.0,I have taken my loan via BANK BAZAAR . Their  service and responses was up to the mark. This is my first experience and i didn't face any inconvenience . My application was processed very immediately . I use the website here which is very user friendly and easy to understand also .,1
41,4.0,HDFC Bank is also good in the process of the personal loan. Being a privileged customer I got a good deal on the offer. The rate of interest and processing fees was normal. The process to get the loan is also good and the after loan services are good.,1
42,5.0,I have taken my personal loan with CITI bank.The loan process was very good and satisfactory . I have taken  10 lakhs and the interest rate was also average . The tenure   period was 5 years. There is no processing fee at all and there is no issues faced with the process .,1
43,4.0,My experience with Bankbazaar is good and there are no hassles. The customer support is good too and there are no issues. They are responsive as well. The website is also good and it is informative. There were follow up calls as well. Overall good.,1
44,4.0,The process with Early salary was good and on time. It was a online process and the documentation was online too. The duration for the personal loan is for three months and the rate of interest is normal and so are the processing charges. The loan amount is of 20K.,1
45,4.5,"My experience was really good with BANK BAZAAR . Their service and responsiveness was very good.I have applied through the website here which is very  convenient  and easy to access,. I have not faced any error while  using it so I would like tor recommend  to others.",1
46,4.0,I have take my personal loan with INDUSIND  BANK recently. The loan amount was 10 lakhs  and the given interest rate was very satisfactory .The EMI period was 4 years.The customer service and responsiveness was very good.It was a hassle free,1
47,5.0,I have taken my personal loan via BANK BAZAAR . I had a smooth process  and i have no complaints at all  but i didn't get my amazing gift vouchers  still . The mobile  application is good and easy to access. The options on banks and interest rate is good so  its recommendable.,1
48,5.0,I have taken my persona loan with TATA CAPITAL.The loan amount was 2 lakhs  which is sufficient . I had a good process  and the interest rate was satisfactory . The tenure period was 48 months. The process was very hassle free and they have sanctioned  the loan with the committed time.,1
49,4.5,"BANK BAZAAR is a good platform for all  the financial products, The service and responses was very good . I am happy with the process and the executives  were e very helpful and I  have  not faced any run time or down time error here so  its recommendable.",1
50,2.0,"I have approached EARLY SALARY for my personal loan. They have rejected ,my application with no proper reason. The customer  service and responses was not good. I have submitted all the documents but they have even processed  it but later it was rejected .",0
51,5.0,"I would give five stars to Bankbazaar as they were on time and provided good services. The website is also good and easy to use and place a request and choose the right bank. I was told that is a paperless process but I still had to submit my paper work to the bank which could have been avoided,",1
52,3.0,I have taken a personal loan with ICICI Bank and the process and experience is very good. I got the loan in one week. The loan provided was of 1.5 lakh and it was to my satisfaction. The rate of interest is around 11% and there was a processing fee too.,0
53,5.0,"BANK BAZAAR is a good platform for all their   financial products,. The service and responsiveness was very good. This is my first  experience and the website is amazing with good features. The executives were helpful  and i am happy with the overall experience.",1
54,5.0,"I have taken my personal loan with TATA CAPITAL . The loan amount was 2.,1 lakhs  which so sufficient . The customer  service and responses was very good. I have not faced any issues and there  is no processing fee also. The interest rate was satisfactory and the tenure  period was 5 years .",1
55,4.0,My experience with Bankbazaar is good and there are no hassles in the process overall. The customer services and response has been good and they were on time to contact me and provide the details. The website is also good and it is useful for me.,1
56,3.0,"My personal loan is with Kotak Mahindra Bank. The customer services and response is okay, but could have been more better if they were quick. Since the documentation was not signed there was a delay. The rate of interest offered to me is of 10.99%.",0
57,5.0,"I would like to give full rating to this on line tool for it's customer service and response. They were professional and provided me full guidance in taking the personal loan. They provided quick and fast service, hence I was satisfied and never faced any issues.",1
58,5.0,"I have taken a personal loan from Tata Capital, the processing of the loan amount was on time, the given rate of interest was also fine. I received proper customer service and guidance. Over all it was a good experience, I am satisfied with it.",1
59,5.0,"It was a very fast process I have chosen this on line tool to get a personal loan, the services I received from them was awesome. They provided good customer service and response, I did not face any issues while dealing with them, the processing was done on time, over all I was satisfied.",1
60,4.0,"I have taken a personal loan from Icici bank, they offered me suitable rate of interest, the processing of the loan amount was done in 3 days. The experience over all was good, their customer service could have been better. I am satisfied with the loan amount I have received.",1
61,5.0,BANK BAZAAR is a one stop solution for all the financial products . The customer  service  and responses was very good . I have applied for the credit  card also but i couldn't follow up. I use the Mobile plication which is quite good and convenient.,1
62,5.0,"My personal alone was taken with EARLY SALARY. The loan amount was 11,000 and the interest rate was satisfactory . The true period was 1 month . I had a good experience and they haves sanctioned the loan with the committed time. They have just taken 2 days for all the process",1
63,5.0,The experience at Bankbazaar is good and they have done a good job for me. They contacted me on time and informed me the details. The website is also good and it is informative and easy to understand. There were follow up calls as well in the process.,1
64,4.0,"I have taken my personal loan from Cashe and the process was good. The tenure for this is for 15 days and I have taken a loan amount of 15k. Though I am not sure on the rate of interest and charges, it was overall good for me. It was nice to get the loan and on time.",1
65,4.5,I  have taken my personal loan via BANK BAZAAR . The service and responses was very good. I have already approached them for a  credit card . My application  processing was very quick and   good. Their Mobile application is amazing  with many good features  too.,1
66,4.0,I have take my personal  loan with ICICI bank . The process was very good and  the loan amount was 3 lakhs  . The tenure    period was 4 years and the interest rate was also satisfactory . The customer  service and responses was up to the mark.  There is no delay  faced and the processing fee was also fine.,1
67,4.5,"I have taken a  personal loan from Central bank of india previously. I am very much satisfied with the rate of interest which is 11% , they gave tenure period of 4 years and but i did pre closure before tenure period the pre closure charges are nominal",1
68,5.0,Bankbazaar was on time to contact me and inform me the details after I place a request. I am very comfortable with this portal as it was easy and I did not have to struggle much to get my personal loan. It was a nice experience overall. Though there were,1
69,4.5,"My personal loan is with ICICI Bank and the process to get the loan is good. The documentation was collected on time. Though the  rate of interest was the least when compared to the other banks, it was still a bit high from my perspective. I got a rate",1
70,4.0,"BANK BAZAAR is a good platform for all the financil products, I am happy with the service and responses . Their website is  good and the web portal's accuracy is good.  I have not faced any run time or down time error  while using it.My overall experience was good.",1
71,4.0,"I have take my personal loan with ICICI bank. Their customer service and responses was really good but the  interest  rate was very high . The tenure period was  1  year. The loan process  was smooth but they have delayed  the process for about a week,. The processing fee was nominal.",1
72,4.0,It was pretty comfortable to place a request at Bankbazaar. It was easy to navigate and register my details. I received a call back on time and I was provided with the information. It would be better if the status on the portal is on the same page with,1
73,4.0,I have taken a personal loan from HDFC Bank. The process to get the loan took one and half week. The rate of interest was approximately  14% and the executive told me that the processing fees will be waived off after paying the EMI for three months.,1
74,4.0,I have taken my loan via BANK BAZAAR . Their customer  service was  good and the responses was  up to the mark. There is no issues faced and the process was also quick. Their web portal's  is amazing  with  all good option so Its recommendable.My experience was good.,1
75,4.0,I have take my personal loan with CITI bank. I had  a good process  and there  is no delay at all. The customer  service and responses was very good. The loan amount was 5 lakhs and the interest rate was  satisfactory . The EMI period was 2 years . The,1
76,3.5,I have  taken my loan  with BANK BAZAAR. The service  and responses was very good. I have applied through the website which is very good and  satisfactory  . The web portal's  accuracy and speed is good so I would like to recommend to others. My overall experience  was good.,0
77,3.0,I have taken my personal loan with TATA CAPITAL recently. The  interest rate was good and the tenure    period  was 3 years . I have take 3 lakhs  loan amount  .The service and responses was up to the mark. There is  no delay in the process  here.The processing fee was  bit high,0
78,5.0,Canara Bank is doing good in the loan process as well. I have taken a personal loan. The interest rate and processing charges is normal. The customer services and response is good and the process to provide the loan was smooth. The after loan services are good too.,1
79,5.0,I also have a personal loan with Capital first and they have been doing good in the services. The process to get the loan was good and the rate of interest and processing charges is normal too. The after loan services are also satisfactory. In all no issues.,1
80,5.0,Bajaj Finserv is pretty good in the process for the personal loan. The customer services and response is good. There are no issues in the process. I received the loan on time and as needed. The rate of interest and processing charges are also fine.,1
81,5.0,The experience with Bankbazaar is good and there are no hassles in the process. The customer support is also good and there are no issues. The website is easy to understand and place a request. There are no hassles to navigate through the portal.,1
82,5.0,I have taken a short term personal loan with Cashe. The process was pretty easy to get the loan. I could upload my documentation online. I have taken a loan of 9000 and I got  8600 in  my account. The tenure is for 30 days. The rate of interest is of 3%.,1
83,4.0,My personal loan was taken with HDFC bank 1 year back. The loan amount was 4 lakhs  and the interest rate was good . The EMI period was 3 years . The customer  service and responsiveness was very good. Their processing fee was nominal,1
84,5.0,I had a good experience with BANK BAZAAR . Their customer  service and responses was really good.  I have taken my personal loan here and  i have used the  website  . The web portals accuracy and speed is good so I would like to recommend to others.,1
85,5.0,I have  taken my personal  loan with TATA CAPITAL . The loan amount was 1.5 lakhs  and the rate of interest was satisfactory . The tenure period was 3 years . The service and responses  was very good. The processing fee was nominal and  their documentation was also quite smooth.,1
86,4.5,"BANK BAZAAR is a good platform for all the financial products, The service and responses was  up to the mark. I have applied through the website and the web portal's  is good. I am happy with the features and  accuracy of the website  so I would lke to recommend to others.",1
87,4.5,My personal loan was taken with TATA CAPITAL. The loan amount was 6 lakhs  and the interest rate was satisfactory . The tenure period was 5 year. I had a good experience here . There is no inconvenience or issues faced so I  would like to,1
88,3.0,My personal loan was taken with HDFC Bank 4 years back. The loan amount was 1.9 lakhs  and the interest rate was very high . The tenure   period was 4 years . I had a good experience  and i had a very smooth process also. Their processing fee was also too high.My overall experience was good.,0
89,4.5,"BANK BAZAAR is a good platform for all the financial products, The service and responses was up to the mark. I have applied through the website and the web portal's  is good. I am happy with the features and  accuracy of the website  so I would like to recommend to others.",1
90,4.5,My personal loan was taken with TATA CAPITAL. The loan amount was 6 lakhs and the interest rate was satisfactory . The tenure period was 5 year. I had a good experience here . There is no inconvenience or issues faced so I  would like to,1
91,5.0,When I raised a request on the portal of Bankbazaar. They contacted on time and informed me the details. The website is also fine and there are no issues in the process. There were also follow up calls as well. The website is user friendly and it is easy to navigate.,1
92,5.0,I received my personal loan with there days from HDFC Bank and it was a fast process. They have taken my documents on time and they also provide a loan as needed. As a customer of HDC Bank for the past 10 years I expected to get a lower rate of,1
93,4.0,Overall it is a good experience with Bankbazaar.com and there are no hassles in the process. They been on time to inform me the details and place a request. The process is smooth too. It would be better if there are a more value on,1
94,4.0,"It was a smooth process with Citibank. I have taken a personal loan and I got the loan in three days. They collected the documents on time from my work place. Since I am a long time customer of the bank , I expected a lesser rate of interest. I got a",1
95,4.0,Earlier I had taken a personal loan from Home credit. The customer services and response is good and the process was on time. The documentation is also on time. But the major drawback is the high rate of interest. They have charged me 35% for the,1
96,5.0,I have taken a personal loan from HDFC Bank. I have taken a loan of 87K. The rate if interest is nominal and the processing charges are also normal. The customer services and response is good and there are no issues in the process. I got the loan on time.,1
97,5.0,"My personal loan was taken with SBI and the experience with this bank is pretty good , i did not face any issue at the time of documentation even the process was very quick . Tenure period is 5year and rate of interest is 9% and it is satisfactory .",1
98,5.0,"I have taken a personal loan through this on line web portal,  their services helped me a lot to get the loan, they guided me and helped me with the processing of the application. I was satisfied with their services and offers provided on their website.",1
99,5.0,"I have taken a personal loan from Fullerton , the loan was processed on time, I received proper customer service and guidance from them. Everything went well, just their rate of interest what they charged is a high as compared to other banks.",1
100,5.0,"Bank bazaar.com is a perfect one for me. once i called to bankbazaar it was very helpful for me, they executives also had given the required information about the loan and its benefits at the time of applying the loan, application and website",1
101,5.0,"Processing is good, they are good in their response, very good, i am happy for icici customer service, documentation also was easy, there was a slight delay in transferring of funds but its ok, as i applied for the loan value of 2 lakh rupees i got the  entire value , i am really happy about this loan.",1
102,4.0,"Executives have explained me everything  pretty clearly, in the web portal i have never faced any issues with it, application and website of bankbazaar is user friendly and easy , executives has assisted me well in uploading the documents online.",1
103,4.0,"Processing and documentation was good, rate of interest is average, customer service part is also average we can say, at the time of fund transfer there was no issues, there was a slight delay  but its ok, online banking everything fine with them over all i had a good experience.",1
104,5.0,"Executives has clearly explained me about the loan and features of the loan clearly, as of now its good to experience with bankbazaar, application and web portal in it are user friendly, accurate informations are given in the bankbazaar portal, so over al its really good to use it.",1
105,5.0,"Processing and documentation was fine. rate of interest more or less ok, also i did not have any issues in fund transfer,  customer service in this bank is really good,  every month EMIs will get debited from my savings account, i have taken it for",1
106,4.0,Bankbazaar could improve in communication and quick in process so that the customers will be communicate as i had experience that i got the amazon voucher delayed even after i dropped the mail to them. It could have been better if If I had received the voucher well on time.,1
107,3.0,"We can say it as average . product and documentation was everything easy , i feel like the rate of interest is also average, customer service part is good, there was a insurance of 15 thousand and then i spoke with bank people to reduce it then they have reduced it and rate of interest.",0
108,4.0,"Good experience with bankbazaar, executives has clearly explained about the loan and features of the loan, application and website is user friendly, accurate information is given in the web portal, customer service is excellent, they also assisted me well in uploading documents.",1
109,4.0,"Processing and documentation was easy, there was no issues in processing the documents, i feel like rate of interest in normal, also there was no issues in transferring the funds to my account, over all everything is fine and customer service is a also good with them its good.",1
110,4.0,"Bankbazaar executives whenever i cal for any assistance they used to respond properly, if anybody wants to go for any financial product i would suggest them to go through bankbazaar first then to other options,its a good experience with them, application and website are user friendly.",1
111,4.0,"Rate of interest which they have given me is that 13.99%, they also provide the instant loan but they take too long to give approval for that, if they could rectify it then everything is ok, like documentation and processing everything went well, they can  give importance for time consumption.",1
112,4.0,"It was quite easy taking a personal from this on line web portal as everything was done through on line and there was no difficulties that I had to face. It was an easy process where I got proper customer service and guidance. Their web portal is also easy to access, hence I am satisfied with it over all.",1
113,4.0,"I have taken a personal loan from Tata capital as the rate of interest they were charging was good, I did not find it high. The processing of the loan amount got bit delayed, but over all customer service and response from them was good. I am satisfied with it over all.",1
114,4.0,"Application and website are user friendly, sometime long time back i was looking for loan of around 6 lakh, but at that time there was no offers for loan , so i do not think much offers are there for me in bankbazaar ,so i do not have much",1
115,3.0,"This loan we can keep it for emergency purpose, their processing and all its good, if they could reduce the rate of interest and also the processing fee it would be fine as because i do not think its fain to charge processing fee for small term loan of",0
116,3.0,"Its a good loan i can say processing and documentation is was easy, but they could have negotiate the rate of interest even if we go through the online portal, instead they have kept that only people approach the bank directly they are",0
117,4.0,"Executives has clearly explained me about the loan and its benefits, so the level of bankbazaar is good, application and website are user friendly, all things are good, information which they have given in the bankbazaar web portal is accurate, over all its a good application.",1
118,5.0,"Bankbazaar did everything well because they have given the informations about the bank and also my information to the bank for the processing and all, executives also given me a good clarity about loan and its details, apart from that the application and website are user friendly.",1
119,5.0,My experience with Bankbazaar is good and there are no issues in the overall process. They been on time to contact me and inform me the details and there was follow up calls too. The website is good and it is easy to understand and follow and place a request.,1
120,5.0,It is a straight forward and simple process at Tata Capital. The customer services and response is good. I also received the loan as needed. The rate of interest is around 16% and the processing fee is waived off. The documentation was also taken on time.,1
121,5.0,As a mediator Bankbazaar.com contacted me on time and informed me the details. They also processed it to the banks. They have done their job well. The website is also good and it is user friendly and easy to use as well. Overall a good experience.,1
122,1.0,I applied for a personal loan with HDFC bank. It has not been a satisfactory experience as I did not receive the loan amount I asked for. I received lesser than that. I had applied for three lakhs and I got 2.74. It is such a huge difference in amount and,0
123,3.0,BANK BAZAAR is a good experience was very good.Their  service and responses was up  to the mark. This is my first  experience here and i has a good smooth process  too. I have used the website which is very user friendly and easy to access so I would like to recommend.,0
124,4.0,I have taken my  personal loan with TATA CAPITAL. The loan amount was 4 lakhs  and the tenure   period was 2 years . The interest  rate was very satisfactory . The processing fee was nominal and the process took just a week of time so  would like,1
125,5.0,"Every thing is good with Bankbazaar.com, they contacted me on time and informed me the details. They also processed the same quickly. The website is good and I use the mobile banking. It would have been better if I received the Amazon voucher on time and if I got the loan more sooner as well.",1
126,4.0,Tata Capital is overall good in the process for the personal loan. I have spoken to them only once or twice and it is a  good experience. They said the rate of interest is of 11.25% and I finally got 11.14%. I was also told that it is a zero processing fee but a,1
127,4.0,My credit card was taken  via  BANK BAZAAR . The customer  service and  responses was really good . This is my first experience and i have used their website which is very convenient . I have even tried using their   credit score  option which is very much useful.,1
128,4.0,My personal loan was taken with CASHE . The loan amount was just 6000a and the interest rate for the first time is high . The tenure  period was 1 month. Their service and responses was up to the marl.  It was immediately processed also but the processing fee was nominal.,1
129,4.0,BANK BAZAAR is a good platform for all the financial products. The service and  responses was up to the mark. The mobile application is very good and convenient .My overall experience  was very good .My overall experience   was  very good and recommendable.,1
130,5.0,I am pretty much happy with Bankbazaar.com and there were no hassles in the process. They provided excellent services and was on time to contact me and inform me the details. There were follow up calls as well and the whole process and,1
131,5.0,"I have taken my personal loan with CASHE.The loan amount was 15,000 and the interest rate was satisfactory . The service and responses was good. The tenure period was 1 month.The customer service  and responses was good The processing fee was nominal.",1
132,5.0,"I got the personal loan within 7 to 8 days from ICICI Bank. The process is convenient and the rate of interest is very much high because my company is not listed with ICICI bank. The rate of interest depends on the company, it varies from company",1
133,4.0,The experience is good at Bankbazaar and there are no hassles in the process. The website is good and it is easy to understand. The customer services and response is good and they contacted me on time and provided the details I needed about the banks.,1
134,4.0,I have taken a personal loan from Indusind bank. The process is good and on time and the loan was processed as per my requirement. The rate of interest is of 12.5% and there were no processing charges. The overall experience is good and hassle free.,1
135,5.0,"BANK BAZAAR is a one stop solution for all the financial products,. I am happy with the service and the responsiveness was up to the mark. I have used their mobile application which is amazing with good features and  i used the credit score option which is very useful.",1
136,4.5,"I have taken my personal loan was taken with  CITI BANK. The loan amount was 2,5 lash and the interest rate was average in the market. The tenure period was 2 years . The loan process was very good and satisfactory . They have provided  door",1
137,5.0,"I have chosen this on line tool to get my personal loan, and it was successfully done through them. I really appreciate how they responded to each and every queries and made sure to do regular follow ups from the beginning to the end until I receive my loan amount is approved. I am quite satisfied.",1
138,3.0,"I have chosen Tata Capital for my personal loan, as they have zero processing fee for the loan amount and no other charges. They took 1 and half week to process the amount, and the rate of interest they have charged me is a bit high than what was told to",0
139,3.0,BANK BAZAAR is a good platform for all the financial products. The service and responsiveness was really good. Its  a  really fast and good process .I didn't receive my gift voucher still and i have even raised a complaint and I am waiting for it..I had very good  experience wit the webportal also.,0
140,5.0,I have taken my personal loan with KOTAK  BANK recently. I had a   good experience here and the given interest rate was  on a higher side here and i have taken 5 lakhs  and the emi period was 5 years . The service and responses was very good .There is,1
141,4.5,I have taken my personal loan with TATA CAPITAL. The loan amount was2 lakhs and the interest rate was but high than other banks . The EMI period was 48 months. I had a good experience  and  the service was  up  to the mark. There is no processing,1
142,4.0,"I have taken the personal loan from Idfc bank, initially I did not get any help from this on line tool regarding my loan process, at last bank executive called and processed my application and fulfilled my requirements the rate of interest differed from what was told and given.",1
143,5.0,"BANK BAZAAR is a good platform for all the financial  products,. The service and responses was very good. This is my first experience and the website is amazing .  It has many good option and it has all the information too so i would like to recommend to others.",1
144,4.5,My personal loan was taken with HDFC  Bank . I had a good experience  and the given interest rate was also  very satisfactory . I have taken  5.5 lakhs  and the tenure period was 5 years . The process was very easy and thy have even provide door step service for collecting   documents.,1
145,4.0,"After me placing a request at Bankbazaar, I was contacted me on time and given the details and they processed it to the bank. The website is good and it would better if the details about the interest rate should match with that of the bank. Overall good.",1
146,3.0,"I have taken a personal through this on line portal, I was somewhat dissatisfied as I did not get any response for the status of my loan application it was delayed for some time and I had no follow ups regarding I had to call for everything then only I got a response.",0
147,5.0,It was a good experience with Tata capital for the personal loan. The customer services and response is good. They contacted me on time and processed the loan. I was initially informed by the online channel I applied through about a interest rate of,1
148,4.0,My experience was  really good with BANK BAZAAR as their service and responses was up to the mark. This is my first experience and the website is very good. The web portals accuracy and speed is  good so  its recommendable so I would like to recommend  to others.,1
149,4.0,I have taken my credit  card with CITI BANK. The process was very goo and the credit limit is 3 lakhs which is satisfactory . The interest rate was satisfactory and the tenure  period was 3 years .  The processing  was very good and easy . They have,1
150,5.0,I have take my personal loan via BANK BAZAAR . The service and responses was very  good. This is my first  experience and there is  no issue faced  so I would like tor recommend  to other. I use their website which is very user friendly and  easy to access,1
151,5.0,"I have take my credit card with EARLY SALARY . The customer  service and responses was very good. I have take 89,000 here and  the interest rate was average in the market. The tenure  period was 1 month. The documentation was very smooth and",1
152,4.0,"I have taken a personal loan from Kotak Mahindra Bank, I needed loan at the time hence despite of the interest rate to be high I took it, they charged 11.2 %, the loan period is for 4 years. I received the loan amount on time at the time I applied for it, the services provided by them were good.",1
153,4.0,"I have taken my personal loan via BANK BAZAAR . The service  and responses was very good. The executives  were  very helpful and i had  hassle free process too so I would like to recommend to others,. Their web portal  is very good and convenient  too",1
154,3.0,"I have taken personal loan th CAHSE . The loan process was very good but the given  interest rate was very high than other bank . The tenure period was 3 month for 30,000 loan amount. Their service and responses was up to the mark.They have taken",0
155,3.5,The process to get the personal loan with HDFC Bank is satisfactory. The customer services and response is good. The rate of interest is around 15.5% which is a very high rate when compared to the other banks. The processing charges are taken too.,0
156,5.0,"My experience was really amazing with BANK BAZAAR . I am approaching for the first  time.The service and responses was up o the mark. I used their  mobile application which has good options and user friendly  too so I would like to recommend to others,.",1
157,5.0,"My personal loan was taken with EARLY SALARY . The loan amount   was 12,000 and the interest rate was average. The tenure period was 1 month only. Their service and responsiveness was very good. I had a hassle free loan process and  there is no",1
158,3.0,"I have taken my credit card wit EARLY SALARY . The loan amount was 10,000  but the given interest rate was very high . The tenure period was 1 month. The service and responses was goo but the processing fee is quite high. I had a good documentation process also.",0
159,5.0,"I have taken personal loan from the IIFL for 3 lacs, the interest rate was in par with the market rate. The loan is almost going to get closed soon. The application and processing was hassle free. It was a good personal loan experience with them.",1
